NOME,EMPRESA,CIDADE,PAIS,CARGO,ENDEREÇO,EMAIL,DATA DE NASCIMENTO,CPF,IDADE
Pedro Henrique Melo,Rios,Cavalcanti de Nunes,Guiné Equatorial,Sacoleira,"Residencial Brito, 17",jesusbeatriz@example.net,1999-06-24,246.581.390-06,69
Maria Eduarda Fogaça,Ferreira,Carvalho dos Dourados,Domínica,Motorista,"Vila Enzo Gabriel Fernandes, 76",joaquim07@example.com,2001-11-28,941.076.538-20,29
Vitória Fernandes,Costa,Novais do Campo,Ilha Wake,Camelô,"Pátio Cecilia Moreira, 8",ravi-luccalopes@example.net,1941-01-08,845.976.013-84,54
Letícia Oliveira,da Rocha Casa Grande e Filhos,Campos Paulista,Suécia,Estofador,"Favela de Rios, 16",jnovaes@example.net,1941-01-01,702.658.341-71,54
Dr. Renan Vargas,Machado,Sá do Oeste,Alemanha,Xilógrafo,"Residencial Vinicius Dias, 8",das-nevesisabelly@example.net,1927-03-30,698.234.170-40,39
Mariah da Cruz,Pires e Filhos,Pires,Papua-Nova Guiné,Árbitro e mediador,Recanto de Rocha,marcela10@example.org,1912-09-27,274.395.108-79,20
Juliana Barros,Vieira Sampaio S.A.,Rocha Verde,Tailândia,Seringueiro,"Colônia de Pimenta, 5",macedoyan@example.net,1927-01-31,436.271.095-70,61
Maria Clara Machado,Freitas e Filhos,da Rocha da Mata,Quiribáti,Restaurador,Vale de Nascimento,guerramateus@example.org,1960-03-06,537.860.921-68,46
Daniela Mendes,Farias,Pimenta de Minas,Turquemenistão,Coronel,"Viaduto José Miguel Rodrigues, 43",gnovaes@example.com,1932-07-31,824.950.176-49,10
Marina Freitas,Ferreira S.A.,Ferreira Alegre,Costa do Marfim,Meredeira,"Estação Gustavo Henrique Vargas, 29",valentim47@example.org,1962-05-06,903.847.126-22,93
Danilo Rocha,Cassiano,Mendonça de Minas,Ilhas Marshall,Defensor Público,Loteamento de Sales,da-matadiogo@example.com,1926-08-23,615.470.392-99,6
Maria Cecília Rios,da Cruz Borges - EI,da Conceição de Mendonça,Santa Lúcia,Panfleteiro,"Parque Aragão, 96",antonio73@example.net,1933-03-18,756.013.428-90,16
Alexandre Andrade,Novaes,Machado,Burundi,Baixista,"Viaduto Valentim Nunes, 44",pda-luz@example.org,1945-11-20,854.362.091-06,52
Dr. Fernando Peixoto,Leão,Montenegro dos Dourados,Sérvia,Defensor Público,"Viela Abreu, 41",correiavinicius@example.net,2013-10-24,402.538.169-98,80
Melissa Jesus,Vasconcelos,Fernandes de da Conceição,Filipinas,Rebarbador de metal,"Rua de Monteiro, 9",guerrajose-miguel@example.com,1985-05-29,278.954.603-74,19
Sra. Maria Luiza da Costa,Correia Garcia S.A.,Fogaça das Flores,Sérvia,Acupunturista,"Campo Campos, 66",yasminribeiro@example.com,1986-01-20,273.048.169-96,2
Luna Moreira,Gomes Fogaça Ltda.,Cardoso da Mata,Jibuti,Contábil,"Praia Nascimento, 59",pmacedo@example.org,1913-11-12,379.042.861-22,77
Paulo Rodrigues,Caldeira Martins - ME,Barros Alegre,Tunísia,Trompetista,Avenida Montenegro,felipeda-luz@example.org,1956-11-29,612.093.854-06,79
Dr. Samuel Abreu,Pastor S.A.,Lima Grande,Eslovênia,Deputado,"Avenida Nunes, 523",ygarcia@example.com,1996-06-13,123.056.479-99,24
Leandro Fernandes,Azevedo - EI,Abreu,Estônia,Treinador,"Lago de Brito, 96",raquel40@example.com,1942-03-29,524.039.716-34,31
